module,user_task,required_behavior,backend_status,api_status,ui_status,state_completeness,gap_type,priority,next_action,evidence,backend_recheck_status,backend_recheck_notes
全局,主导航,四个主导航可到达相应工作区；二级页面有明确返回/深链,IMPLEMENTED,N/A,IMPLEMENTED,COMPLETE,已闭环,P0,四个一级工作区已可达；Base Data/Single Run/GIS 保持二级入口,base.html；当前 UI routes,FRONTEND_ONLY,Situation / Indicator / Run / Results are real primary routes; secondary workspaces remain outside primary navigation by design.
全局,登录/当前用户,未登录、登录、会话失效均有明确入口与状态,PARTIAL,SESSION_RESOLVER_ONLY,PARTIAL,MISSING,功能闭环,P1,保留既有会话契约；补登录/失效态产品入口或明确由外层系统提供,flask_auth.py；base.html,RUNTIME_DEFERRED,Session principal resolver and GET /api/me are ready; actual login route/host integration and session-expiry browser flow are deferred to Flask/Codex runtime integration.
全局,权限可见性,后端拒绝之外，UI 应根据角色隐藏/禁用不可执行操作并解释原因,IMPLEMENTED_BACKEND,IMPLEMENTED_BACKEND,MISSING,MISSING,交互/权限,P1,建立 permission-aware 控件状态；后端继续为最终权威,principal.py,READY_BACKEND,GET /api/me returns server-authoritative role and permissions; every API still enforces permission.
全局,CSRF,所有 mutation 经统一客户端发送 CSRF，失败有可理解状态,IMPLEMENTED,IMPLEMENTED,PARTIAL,PARTIAL,状态体验,P1,共享 MutationFeedback；Situation/BaseData/Indicator 新写操作复用,api-client.js / flask_auth.py,READY_BACKEND,Mutation guards are supported for every new Flask mutation blueprint; shared client already sends CSRF.
全局,错误处理,统一错误 envelope 映射到字段、页面、重试或不可恢复状态,IMPLEMENTED_BACKEND,IMPLEMENTED,PARTIAL,PARTIAL,状态体验,P0,建设 AsyncState + FieldErrorMap；不得每页各写一种 alert,error_mapping.py；各页面 JS,READY_BACKEND,New APIs use the common error envelope; conflicts/reference/state/stale-validation errors have stable codes.
全局,Loading/Empty/Error/Permission,每个数据区都有稳定 skeleton/empty/error/permission，不因内容变化跳版,BACKEND_N/A,N/A,PARTIAL,PARTIAL,视觉/状态,P0,形成共享状态组件与固定容器策略,现有页面各自实现,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
全局,断线/恢复,轮询/请求失败时显示 degraded；恢复后保持选择、滚动、检查对象,BACKEND_SUPPORTS_PERSISTENT_RUN,IMPLEMENTED,PARTIAL,MISSING,交互韧性,P1,Run/Results/GIS 引入统一连接状态；避免“请求失败=整页错误”,run.js / api-client.js,READY_BACKEND,Persistent Run/state/event APIs support reconnect without browser-owned authority.
全局,响应式窗口,1366×768、1672×941、1920×1080 均可操作；同时处理宽和高,N/A,N/A,PARTIAL,MISSING,布局韧性,P0,建立 width+height breakpoints；移除全局 overflow:hidden 作为万能策略,run.css 等,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
全局,可访问性/焦点,Drawer/Dock/Disclosure 支持焦点进入、ESC、关闭后焦点返回、键盘操作,N/A,N/A,PARTIAL,MISSING,交互架构,P1,共享 OverlayController / DisclosureController,results overlay / detail dock,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
全局,视觉节奏,文字、行距、段距、组件内外距按关系分层，而非统一 gap/padding,N/A,N/A,WEAK,MISSING,视觉体系,P0,重建 spacing/typography/density tokens,全部 CSS,FRONTEND_ONLY,No additional business backend authority is required for this interaction; existing facts/errors are sufficient.
